index,Tanggal,Jumlah per Hari,Total
1,02/03/2020,2,2
2,03/03/2020,0,2
3,04/03/2020,0,2
4,05/03/2020,0,2
5,06/03/2020,2,4
6,07/03/2020,0,4
7,08/03/2020,2,6
8,09/03/2020,13,19
9,10/03/2020,8,27
10,11/03/2020,7,34
11,12/03/2020,0,34
12,13/03/2020,35,69
13,14/03/2020,27,96
14,15/03/2020,21,117
15,16/03/2020,17,134
16,17/03/2020,38,172
17,18/03/2020,55,227
18,19/03/2020,82,309
19,20/03/2020,60,369
20,21/03/2020,81,450
21,22/03/2020,64,514
22,23/03/2020,65,579
23,24/03/2020,106,686
24,25/03/2020,105,790
25,26/03/2020,103,893
26,27/03/2020,153,1046
27,28/03/2020,109,1155
28,29/03/2020,130,1285
29,30/03/2020,129,1414
30,31/03/2020,114,1528
31,01/04/2020,149,1677
32,02/04/2020,113,1790
33,03/04/2020,196,1986
34,04/04/2020,106,2092
35,05/04/2020,181,2273
36,06/04/2020,218,2491
37,07/04/2020,247,2738
38,08/04/2020,218,2956
39,09/04/2020,337,3293
40,10/04/2020,219,3512
41,11/04/2020,330,3842
42,12/04/2020,399,4241
43,13/04/2020,316,4557
44,14/04/2020,282,4839
45,15/04/2020,297,5136
46,16/04/2020,380,5516
47,17/04/2020,407,5923
48,18/04/2020,325,6248
49,19/04/2020,327,6575
50,20/04/2020,185,6760
51,21/04/2020,375,7135
52,22/04/2020,283,7418
53,23/04/2020,357,7775
54,24/04/2020,436,8211
55,25/04/2020,396,8607
56,26/04/2020,275,8882
57,27/04/2020,214,9096
58,28/04/2020,415,9511
59,29/04/2020,260,9771
60,30/04/2020,347,10118
61,01/05/2020,433,10551
62,02/05/2020,292,10843
63,03/05/2020,349,11192
64,04/05/2020,395,11587
65,05/05/2020,484,12071
66,06/05/2020,367,12438
67,07/05/2020,338,12776
68,08/05/2020,336,13112
69,09/05/2020,533,13645
70,10/05/2020,387,14032
71,11/05/2020,233,14265
72,12/05/2020,484,14749
73,13/05/2020,689,15438
74,14/05/2020,568,16006
75,15/05/2020,490,16496
76,16/05/2020,529,17025
